ASV,classification
Trichosporon-ASV1423,NoSig
Trichosporon-ASV3253,NoSig
Trichosporon-ASV1127,NoSig
Trichosporon-ASV3362,NoSig
Trichosporon-ASV1068,NoSig
Trichosporon-ASV725,NoSig
Trichosporon-ASV1967,NoSig
Trichosporon-ASV4632,NoSig
Trichosporon-ASV3333,NoSig
Trichosporon-ASV4378,NoSig
Trichosporon-ASV2284,NoSig
Trichosporon-ASV1153,NoSig
Trichosporon-ASV3015,NoSig
Trichosporon-ASV1008,NoSig
Trichosporon-ASV652,NoSig
Trichosporon-ASV1311,NoSig
Trichosporon-ASV2519,NoSig
Trichosporon-ASV5985,NoSig
Trichosporon-ASV1102,NoSig
Trichosporon-ASV1896,NoSig
Trichosporon-ASV1320,NoSig
Trichosporon-ASV1606,NoSig
Trichosporon-ASV2768,NoSig
Trichosporon-ASV4403,NoSig
Trichosporon-ASV2783,NoSig
Trichosporon-ASV4835,NoSig
Trichosporon-ASV2029,NoSig
Trichosporon-ASV1696,NoSig
Trichosporon-ASV2651,NoSig
Trichosporon-ASV49,NoSig
Trichosporon-ASV2815,NoSig
Trichosporon-ASV5157,NoSig
Trichosporon-ASV3281,NoSig
Trichosporon-ASV351,NoSig
Trichosporon-ASV4256,NoSig
Trichosporon-ASV4682,NoSig
Trichosporon-ASV3622,NoSig
Trichosporon-ASV3913,NoSig
Trichosporon-ASV5275,NoSig
Trichosporon-ASV2565,NoSig
Trichosporon-ASV4556,NoSig
Trichosporon-ASV5590,NoSig
Trichosporon-ASV4387,NoSig
Trichosporon-ASV31,NoSig
Trichosporon-ASV2287,NoSig
Trichosporon-ASV5025,NoSig
Trichosporon-ASV1435,NoSig
Trichosporon-ASV3144,NoSig
Trichosporon-ASV4043,NoSig
Trichosporon-ASV2997,NoSig
Trichosporon-ASV2515,NoSig
Trichosporon-ASV1198,NoSig
Trichosporon-ASV4405,NoSig
Trichosporon-ASV3957,NoSig
Trichosporon-ASV5200,NoSig
Trichosporon-ASV5630,NoSig
Trichosporon-ASV4341,NoSig
Trichosporon-ASV2575,NoSig
Trichosporon-ASV2465,NoSig
Trichosporon-ASV1681,NoSig
Trichosporon-ASV1763,NoSig
Trichosporon-ASV4656,NoSig
Trichosporon-ASV1866,NoSig
Trichosporon-ASV3820,NoSig
Trichosporon-ASV4093,NoSig
Trichosporon-ASV4519,NoSig
Trichosporon-ASV3325,NoSig
Trichosporon-ASV1937,NoSig
Trichosporon-ASV1245,NoSig
Trichosporon-ASV2916,NoSig
Trichosporon-ASV4481,NoSig
Trichosporon-ASV1029,NoSig
Trichosporon-ASV375,NoSig
Trichosporon-ASV2100,NoSig
Trichosporon-ASV2329,NoSig
Trichosporon-ASV2213,NoSig
Trichosporon-ASV4837,NoSig
Trichosporon-ASV3836,NoSig
Trichosporon-ASV5407,NoSig
Trichosporon-ASV4453,NoSig
Trichosporon-ASV28,NoSig
Trichosporon-ASV3973,NoSig
Trichosporon-ASV4206,NoSig
Trichosporon-ASV41,NoSig
Trichosporon-ASV2080,NoSig
Trichosporon-ASV3190,NoSig
Trichosporon-ASV409,NoSig
Trichosporon-ASV151,NoSig
Trichosporon-ASV3917,NoSig
Trichosporon-ASV76,NoSig
Trichosporon-ASV131,NoSig
Trichosporon-ASV1965,NoSig
Trichosporon-ASV108,NoSig
Trichosporon-ASV3587,NoSig
Trichosporon-ASV166,NoSig
Trichosporon-ASV5213,NoSig
Trichosporon-ASV3432,NoSig
Trichosporon-ASV2700,NoSig
Trichosporon-ASV3168,NoSig
Trichosporon-ASV5389,NoSig
Trichosporon-ASV122,NoSig
Trichosporon-ASV4144,NoSig
Trichosporon-ASV5325,NoSig
Trichosporon-ASV63,NoSig
Trichosporon-ASV2765,NoSig
Trichosporon-ASV126,NoSig
Trichosporon-ASV4557,NoSig
Trichosporon-ASV4225,NoSig
Trichosporon-ASV156,NoSig
Trichosporon-ASV1892,NoSig
Trichosporon-ASV225,NoSig
Trichosporon-ASV23,NoSig
Trichosporon-ASV3141,NoSig
Trichosporon-ASV3737,NoSig
Trichosporon-ASV205,NoSig
Trichosporon-ASV5887,NoSig
Trichosporon-ASV5045,NoSig
Trichosporon-ASV3808,NoSig
Trichosporon-ASV32,NoSig
Trichosporon-ASV97,NoSig
Trichosporon-ASV316,NoSig
Trichosporon-ASV153,NoSig
Trichosporon-ASV3112,NoSig
Trichosporon-ASV2032,NoSig
Trichosporon-ASV78,NoSig
Trichosporon-ASV3429,NoSig
Trichosporon-ASV1914,NoSig
Trichosporon-ASV21,NoSig
Trichosporon-ASV1413,NoSig
Trichosporon-ASV3575,NoSig
Trichosporon-ASV88,NoSig
Trichosporon-ASV18,NoSig
Trichosporon-ASV3011,NoSig
Trichosporon-ASV2751,NoSig
Trichosporon-ASV7050,NoSig
Trichosporon-ASV20,NoSig
Trichosporon-ASV2927,NoSig
Trichosporon-ASV51,NoSig
Trichosporon-ASV3031,NoSig
Trichosporon-ASV4032,NoSig
Trichosporon-ASV2550,NoSig
Trichosporon-ASV4271,NoSig
Trichosporon-ASV4889,NoSig
Trichosporon-ASV257,NoSig
Trichosporon-ASV91,NoSig
Trichosporon-ASV3292,NoSig
Trichosporon-ASV1214,NoSig
Trichosporon-ASV3390,NoSig
Trichosporon-ASV984,NoSig
Trichosporon-ASV2804,NoSig
Trichosporon-ASV4005,NoSig
Trichosporon-ASV90,NoSig
Trichosporon-ASV2836,NoSig
Trichosporon-ASV3449,NoSig
Trichosporon-ASV8,NoSig
Trichosporon-ASV1002,NoSig
Trichosporon-ASV2862,NoSig
Trichosporon-ASV4709,NoSig
Trichosporon-ASV40,NoSig
Trichosporon-ASV4016,NoSig
Trichosporon-ASV294,NoSig
Trichosporon-ASV4114,NoSig
Trichosporon-ASV70,NoSig
Trichosporon-ASV1527,NoSig
Trichosporon-ASV3034,NoSig
Trichosporon-ASV125,NoSig
Trichosporon-ASV128,NoSig
Trichosporon-ASV4409,NoSig
Trichosporon-ASV292,NoSig
Trichosporon-ASV42,NoSig
Trichosporon-ASV259,NoSig
Trichosporon-ASV741,NoSig
Trichosporon-ASV3468,NoSig
Trichosporon-ASV2567,NoSig
Trichosporon-ASV2788,NoSig
Trichosporon-ASV3968,NoSig
Trichosporon-ASV2496,NoSig
Trichosporon-ASV4221,NoSig
Trichosporon-ASV187,NoSig
Trichosporon-ASV4062,NoSig
Trichosporon-ASV3212,NoSig
Trichosporon-ASV2087,NoSig
Trichosporon-ASV5236,NoSig
Trichosporon-ASV4112,NoSig
Trichosporon-ASV949,NoSig
Trichosporon-ASV1165,NoSig
Trichosporon-ASV428,NoSig
Trichosporon-ASV4550,NoSig
Trichosporon-ASV615,NoSig
Trichosporon-ASV3618,NoSig
Trichosporon-ASV236,NoSig
Trichosporon-ASV35,NoSig
Trichosporon-ASV67,NoSig
Trichosporon-ASV4393,NoSig
Trichosporon-ASV170,NoSig
Trichosporon-ASV4972,NoSig
Trichosporon-ASV3951,NoSig
Trichosporon-ASV4067,NoSig
Trichosporon-ASV85,NoSig
Trichosporon-ASV12,NoSig
Trichosporon-ASV1507,NoSig
Trichosporon-ASV2694,NoSig
Trichosporon-ASV77,NoSig
Trichosporon-ASV1869,NoSig
Trichosporon-ASV4060,NoSig
Trichosporon-ASV22,NoSig
Trichosporon-ASV4017,NoSig
Trichosporon-ASV2760,NoSig
Trichosporon-ASV2762,NoSig
Trichosporon-ASV81,NoSig
Trichosporon-ASV107,NoSig
Trichosporon-ASV3798,NoSig
Trichosporon-ASV2325,NoSig
Trichosporon-ASV34,NoSig
Trichosporon-ASV219,NoSig
Trichosporon-ASV3848,NoSig
Trichosporon-ASV288,NoSig
Trichosporon-ASV193,NoSig
Trichosporon-ASV3797,NoSig
Trichosporon-ASV4292,NoSig
Trichosporon-ASV3211,NoSig
Trichosporon-ASV2053,NoSig
Trichosporon-ASV3012,NoSig
Trichosporon-ASV3005,NoSig
Trichosporon-ASV136,NoSig
Trichosporon-ASV3603,NoSig
Trichosporon-ASV30,NoSig
Trichosporon-ASV1117,NoSig
Trichosporon-ASV3534,NoSig
Trichosporon-ASV38,NoSig
Trichosporon-ASV3448,NoSig
Trichosporon-ASV4388,NoSig
Trichosporon-ASV72,NoSig
Trichosporon-ASV3784,NoSig
Trichosporon-ASV3830,NoSig
