ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Phylum,Class,Order,Family,Genus,Species,SpeciesASV,Confidence,OTUs,High_low,,,
ASV571,8.235672939,-2.653600476,0.404219545,-6.564750535,5.21E-11,1.31E-09,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,Pseudopithomyces rosae,Pseudopithomyces rosae-ASV571,0.9430626,db7c85792d5498256ea36ca30ce7308c,High in Healthy,,,
ASV191,4.301481436,-2.709467312,0.407121811,-6.655176007,2.83E-11,8.43E-10,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,Issatchenkia orientalis-ASV191,0.9898905,f2009bbbe68b48b8f6acea573ca8b65e,High in Healthy,,,
ASV75,4.659946692,-2.837731346,0.413071066,-6.869838105,6.43E-12,2.12E-10,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,Issatchenkia orientalis-ASV75,0.9652709,bcbd6727fde1b2dca0d4f46c179f42ab,High in Healthy,,,
ASV263,22.98353641,-3.239852023,0.479919246,-6.750827454,1.47E-11,4.60E-10,Fungi,Fungi,Fungi,Fungi,Fungi,Fungi,Fungi-ASV263,1,6c2e964875a08ca90f2d6f245c1d1d77,High in Healthy,,,
ASV101,6.82714242,-3.436380772,0.441362396,-7.78584855,6.92E-15,2.89E-13,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon,Trichosporon-ASV101,0.8330171,9d836c1e6867f9bf35ed0a32a9f4d2f7,High in Healthy,,,
ASV24,7.406048997,-3.561684054,0.444538717,-8.012089651,1.13E-15,5.04E-14,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,Issatchenkia orientalis-ASV24,0.9585128,ff64cebf906ea62a9e32e650c5fdc72c,High in Healthy,,,
ASV36,7.52659284,-3.586449351,0.447596981,-8.012675473,1.12E-15,5.04E-14,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,Issatchenkia orientalis-ASV36,0.979203,ef642d534ae5f84d2a2b005cd4b2548c,High in Healthy,,,
ASV284,25.26564184,-3.678662976,0.447296388,-8.22421793,1.96E-16,1.12E-14,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Hydropisphaera,Hydropisphaera fungicola,Hydropisphaera fungicola-ASV284,0.9999858,a4106101d4deb4a180535aef12b640ab,High in Healthy,,,
ASV33,8.395951246,-3.753519958,0.4523952,-8.296993328,1.07E-16,7.43E-15,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon,Trichosporon-ASV33,0.9036562,cf441535bd5274bd99d9bb1170eeb1eb,High in Healthy,,,
ASV61,8.418626097,-3.757635244,0.454594798,-8.265900222,1.39E-16,8.68E-15,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,Issatchenkia orientalis-ASV61,0.9928278,ffed7d495c7da1667ec07ee78a65cd33,High in Healthy,,,
ASV73,8.76906683,-3.819695802,0.457092109,-8.356512233,6.46E-17,5.05E-15,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,Issatchenkia orientalis-ASV73,0.993875,59775adcb711982d2157111f916bfafa,High in Healthy,,,
ASV56,9.126106767,-3.880299483,0.457456786,-8.482330136,2.21E-17,1.97E-15,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,Issatchenkia orientalis-ASV56,0.9887868,37d1e5c095dff03bfab2d9189f25f6e8,High in Healthy,,,
ASV114,10.1782614,-4.045358828,0.451277235,-8.964243066,3.12E-19,4.89E-17,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella indohii,Mortierella indohii-ASV114,0.9918636,1688b3a0d260f853342301c930ddbb6d,High in Healthy,,,
ASV27,11.47702361,-4.226077269,0.472902485,-8.936466623,4.02E-19,5.03E-17,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,Issatchenkia orientalis-ASV27,0.9749524,c7201af9b1aba9c105746208a6758f45,High in Healthy,,,
ASV1,106.3474788,-7.489176762,0.575528033,-13.01270542,1.04E-38,6.49E-36,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon,Trichosporon-ASV1,0.8879866,770599409edc54f1a2c297cb4f643510,High in Healthy,,,
