"","sp1_name","sp2_name","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","Species.x","Confidence","OTUs","sig","Phylum","Class","Order","Family","Genus","Species.y"
"1","ITS240","ASV1871",240,1120,25,54,23,0.253,18.5,0.99878,0.00922,"Histophilus",0.9999952,"92eb590559be1722f08a6ed0a3813b2a","Positive","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces_anomalus"
"2","ITS29","ASV1871",29,1120,17,54,16,0.172,12.6,0.99733,0.02534,"Histophilus",0.9999952,"92eb590559be1722f08a6ed0a3813b2a","Positive","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales","Capnodiales","Capnodiales"
"3","ITS802","ASV1871",802,1120,10,54,10,0.101,7.4,1,0.03852,"Histophilus",0.9999952,"92eb590559be1722f08a6ed0a3813b2a","Positive","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","Ophiosphaerella_aquatica"
"4","ITS10","ASV1871",10,1120,49,54,32,0.497,36.2,0.01313,0.99814,"Histophilus",0.9999952,"92eb590559be1722f08a6ed0a3813b2a","Negative","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Agaricostilbaceae","Sterigmatomyces","Sterigmatomyces_halophilus"
"5","ITS124","ASV1871",124,1120,31,54,19,0.314,22.9,0.03236,0.99155,"Histophilus",0.9999952,"92eb590559be1722f08a6ed0a3813b2a","Negative","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales","Capnodiales","Capnodiales"
"6","ITS263","ASV1871",263,1120,14,54,7,0.142,10.4,0.03029,0.99385,"Histophilus",0.9999952,"92eb590559be1722f08a6ed0a3813b2a","Negative","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi"
"7","ITS550","ASV1871",550,1120,9,54,3,0.091,6.7,0.00772,0.99921,"Histophilus",0.9999952,"92eb590559be1722f08a6ed0a3813b2a","Negative","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi"
