"","sp2_name","sp1_name","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","PhylumITS","ClassITS","OrderITS","FamilyITS","GenusITS","SpeciesITS","Phylum16S","Class16S","Order16S","Family16S","Genus16S","Species16S"
"1312","ASV7956","ITS1040",1040,1537,4,57,0,0.043,3.1,0.00167,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera_culbertsonii","Firmicutes","Clostridia","Clostridiales","Family XI","Sedimentibacter","uncultured Sedimentibacter sp."
"1313","ASV7956","ITS595",595,1537,2,57,0,0.021,1.6,0.04566,1,"Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Ramularia","Ramularia_pratensis","Firmicutes","Clostridia","Clostridiales","Family XI","Sedimentibacter","uncultured Sedimentibacter sp."
"1314","ASV7956","ITS112",112,1537,2,57,0,0.021,1.6,0.04566,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","Firmicutes","Clostridia","Clostridiales","Family XI","Sedimentibacter","uncultured Sedimentibacter sp."
"1315","ASV7956","ITS159",159,1537,2,57,0,0.021,1.6,0.04566,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","Firmicutes","Clostridia","Clostridiales","Family XI","Sedimentibacter","uncultured Sedimentibacter sp."
"1316","ASV7956","ITS639",639,1537,2,57,0,0.021,1.6,0.04566,1,"Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_wieringae","Firmicutes","Clostridia","Clostridiales","Family XI","Sedimentibacter","uncultured Sedimentibacter sp."
"1317","ASV7956","ITS687",687,1537,2,57,0,0.021,1.6,0.04566,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","Firmicutes","Clostridia","Clostridiales","Family XI","Sedimentibacter","uncultured Sedimentibacter sp."
"1318","ASV7956","ITS41",41,1537,2,57,0,0.021,1.6,0.04566,1,"Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","Firmicutes","Clostridia","Clostridiales","Family XI","Sedimentibacter","uncultured Sedimentibacter sp."
"1319","ASV7977","ITS1040",1040,1875,4,38,0,0.029,2.1,0.04811,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera_culbertsonii","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Pelagibacterium","uncultured bacterium"
"1320","ASV7977","ITS624",624,1875,6,38,0,0.043,3.1,0.00954,1,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","Ophiosphaerella_aquatica","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Pelagibacterium","uncultured bacterium"
"1321","ASV7978","ITS674",674,2209,19,11,0,0.039,2.9,0.0269,1,"unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Paraburkholderia tropica","Paraburkholderia tropica"
