,sp1_name,n,Phylum,Class,Order,Family,Genus,Species,Confidence,OTUs
1,ITS540,31,Fungi,Fungi,Fungi,Fungi,Fungi,Fungi,1,086165387e92553f352d92de9ff76794
2,ITS563,44,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_kratochvilovae,0.9840395,e9825649383821a4af4d0f4405ce12e2
