"","Phylum","Class","Order","Family","Genus","Species","Confidence","OTUs"
"ASV5824","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003","uncultured bacterium","0.9710307","cafbdad0ec371892005cdab44b4f0a64"
"ASV13198","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured bacterium","0.8710496","93b4fcd59945699b4c63b9dee007be26"
"ASV4039","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","uncultured","Chishuiella sp. YIM 102668","0.9505184","dee4f93fff44255e31e05750a178d3e8"
"ASV1937","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","uncultured bacterium","0.9953911","ebc218731152df078258b869f0eeff3e"
"ASV11383","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter","0.9996221","c5e97e5fa1227fa1f37bb59a011d15d0"
"ASV9299","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pusillimonas","uncultured compost bacterium","0.9555624","ff85002b32a68be2a489040c644509fd"
"ASV4533","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Ignavigranum","uncultured bacterium","0.9999998","a7721cdf3d1ef3a6678dea3c0b091e15"
"ASV12158","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila","Clostridiaceae bacterium SK061","0.9985837","05ed45f1a6a7b8080cabbe72c0ff6c8b"
"ASV6178","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma","Ureaplasma diversum","0.9998304","efb72bb575891797987648726db87121"
"ASV17869","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae NK3A20 group","uncultured rumen bacterium","0.7040518","516a0cf01a2db919042dc3d8930d527e"
"ASV15440","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","unidentified","0.8283872","b2359854adf13ce342f4128f3cf731f5"
"ASV17429","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured bacterium","0.9892010","4d65a322bd4d4fb83687328e03b1c64d"
"ASV3812","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","uncultured Porphyromonadaceae bacterium","uncultured Porphyromonadaceae bacterium","0.9998697","4c974b834afe158c4265402ee0bfcbad"
"ASV8619","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003","uncultured bacterium","0.9676284","f5bfbf665081e0133bdcba9fcfc6023d"
"ASV7454","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Syntrophococcus","uncultured bacterium","0.9989314","48f6b6951c506f15f81d7cc1511987c7"
"ASV17724","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured bacterium","0.7768658","3299f73ea320e7a3657ed99d58628e70"
"ASV15633","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia neptuniae","0.9810225","61d5c226530a30d33fb26d3f78b23d65"
"ASV13416","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonadaceae","Sphingomonadaceae","0.9999858","1a5d731bdb17132668beaeabc34ea962"
"ASV8999","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium sp. 35","0.9790417","2e9e41d2ec5d2a3d35bd8f045b5f136d"
"ASV13667","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","Methanosphaera","1.0000000","b6c4d097909dadb204cc5554f1489a3e"
"ASV11491","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxellaceae","Moraxellaceae","0.9999934","4b7f9c08b81c43388fad434652cd8a77"
"ASV7707","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Flaviflexus","uncultured bacterium","0.9710890","e224dacaa320b4c38dff0117925020fe"
"ASV1801","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales UCG-001","uncultured bacterium","uncultured bacterium","0.9993375","caedc01e749f7993c0d2768d7e10e02d"
"ASV13423","Actinobacteria","Actinobacteria","Micrococcales","Micrococcales Incertae Sedis","Timonella","Timonella","0.9954734","6eb92ff07ba64d77f4a0dcd4cc03545e"
"ASV14143","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium","0.9999997","1569f7ae988e26c905ab8fab427c8a0d"
"ASV10905","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Persicitalea","uncultured bacterium","0.9999989","6dcf176139f40575dd619dcaf4165af8"
"ASV4719","Proteobacteria","Deltaproteobacteria","Bradymonadales","uncultured marine bacterium","uncultured marine bacterium","uncultured marine bacterium","0.9979545","97ccec6af84fbd66a0f80736e58dfc94"
"ASV4123","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001","uncultured bacterium","0.9983108","793947dd3cff127bef04c54bdf6dbcc8"
"ASV12659","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium sp. 773B2_12ER2A","0.9902986","cf6caddae2125bce619b988844351245"
"ASV10119","Firmicutes","Clostridia","Clostridiales","Family XI","W5053","uncultured bacterium","0.9976117","2f464b29560efb8fbaed2b4b2fbe96ce"
"ASV17205","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma bovirhinis","0.8171152","2d99cf3c7e3c7fcd5996c447f691c6e9"
"ASV16089","Synergistetes","Synergistia","Synergistales","Synergistaceae","uncultured","uncultured","1.0000000","32f2ca3b7431d2c6c023a4e8153179b2"
"ASV12478","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group","uncultured Clostridiales bacterium","0.7171850","4e18372b0fcaf07875b761a7a593077d"
