"","sp2_name","sp1_name","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","PhylumITS","ClassITS","OrderITS","FamilyITS","GenusITS","SpeciesITS","Phylum16S","Class16S","Order16S","Family16S","Genus16S","Species16S"
"300","ASV16442","ITS904",904,2055,5,25,0,0.041,2.3,0.04096,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Millerozyma","Millerozyma_farinosa","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas"
"301","ASV1646","ITS29",29,2003,9,15,0,0.045,2.5,0.043,1,"Ascomycota","Dothideomycetes","Capnodiales","Capnodiales","Capnodiales","Capnodiales","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium"
"302","ASV16462","ITS579",579,1749,9,16,0,0.048,2.6,0.03333,1,"Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","Cystobasidium_pallidum","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 1","uncultured bacterium"
"303","ASV16571","ITS967",967,1727,4,30,0,0.04,2.2,0.03709,1,"Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_rademirici","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","uncultured bacterium","uncultured bacterium"
"304","ASV1660","ITS1067",1067,2091,6,21,0,0.042,2.3,0.04639,1,"Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sarocladium","Sarocladium_strictum","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila","uncultured bacterium"
"305","ASV1660","ITS682",682,2091,6,21,0,0.042,2.3,0.04639,1,"Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporidiobolus","Sporidiobolus_salmonicolor","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila","uncultured bacterium"
"306","ASV16607","ITS540",540,1399,6,22,0,0.044,2.4,0.03821,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Synergistetes","Synergistia","Synergistales","Synergistaceae","uncultured","uncultured bacterium mle1-42"
"307","ASV16691","ITS685",685,1216,2,49,0,0.032,1.8,0.0101,1,"Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Iodophanus","Iodophanus_testaceus","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus","uncultured bacterium"
"308","ASV16700","ITS15",15,2240,13,11,0,0.047,2.6,0.03577,1,"Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum","Exserohilum_turcicum","Firmicutes","Clostridia","Clostridiales","Clostridiales Incertae Sedis","Proteiniborus","uncultured bacterium"
"309","ASV16700","ITS459",459,2240,13,11,0,0.047,2.6,0.03577,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_flavus","Firmicutes","Clostridia","Clostridiales","Clostridiales Incertae Sedis","Proteiniborus","uncultured bacterium"
"310","ASV16700","ITS373",373,2240,12,11,0,0.044,2.4,0.04807,1,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora","unidentified","Firmicutes","Clostridia","Clostridiales","Clostridiales Incertae Sedis","Proteiniborus","uncultured bacterium"
"311","ASV16757","ITS675",675,1529,6,23,0,0.046,2.5,0.03126,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Nakazawaea","Nakazawaea_ishiwadae","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriales","Flavobacteriales","Flavobacteriales"
"312","ASV16757","ITS284",284,1529,6,23,0,0.046,2.5,0.03126,1,"Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Hydropisphaera","Hydropisphaera_fungicola","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriales","Flavobacteriales","Flavobacteriales"
