"","Phylum","Class","Order","Family","Genus","Species","Confidence","OTUs"
"ITS354","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_vespimorsuum","0.8484820","cad128f032790d953c8e2171ee05f472"
"ITS355","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidiaceae","Filobasidiaceae","0.8230126","ece3400dbed68da0c25e3f8e02133be8"
"ITS356","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","35dc23a687eb1fa0cd10cecec5c359da"
"ITS357","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","5ff48016ca15940c39d8064143979147"
"ITS358","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_muriae","0.9997978","9184fcd5c73473690de4f24ef3b8739b"
"ITS359","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","d6a8d11a608ff918cdf5ca3bc446bac8"
"ITS360","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","Symmetrosporaceae","Symmetrospora","Symmetrospora_foliicola","0.9997774","4f739c714d6a20b88ed7d22b9620a5ff"
"ITS361","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_vespimorsuum","0.8212755","d42d6a2a1d94d037d5b19e6a4568ed44"
"ITS362","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_caesiellus","0.7331590","4f39156b0630938c8f5d0caff2987992"
"ITS363","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","0.8909636","65cb7c5bdead072894d608f00fd0c677"
"ITS364","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.8428053","c18b0d84014a16845b32e7f2402702b0"
"ITS365","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9849241","2f08e2a6a7a7e7d9d76ae3b53079f3b5"
"ITS366","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","aa1d3c0d9bc615be3e9002a25a47e6c0"
"ITS367","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","Ascobolus_lineolatus","0.8767023","ba9a01b08ec13cc50ff05bbeb503a941"
"ITS368","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_wieringae","0.7325852","3532bcac248584be487471842c9af3f9"
"ITS369","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7583405","3262cdc3282853748967560524bdfe58"
"ITS370","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9919242","e191a0dc8de6eacd43617bdd6f1a7e8d"
"ITS371","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","fe21230f6512baabf4f13782d03c6092"
"ITS372","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales","Capnodiales","Capnodiales","0.9871922","17fced596b45c0314a4ff21ac12d7a09"
"ITS373","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora","unidentified","0.9999954","e7cb13507dba6dd2340f5931ff9d5b28"
"ITS374","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9929839","e2619d3c4681e30cce5dc85dd58a2cea"
"ITS375","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.9065954","75c411d0cc4e13c3a172a844c4741189"
"ITS376","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9919084","a0eddf23a8bee59158d12092c8fc8f47"
"ITS377","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7346705","b7325a0f708c1152e551c5e029fb89b5"
"ITS378","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","Symmetrosporaceae","Symmetrospora","Symmetrospora_marina","0.9511784","d7dbcbaef9b05ceaa2665329159aaa14"
"ITS379","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula_mucilaginosa","0.9991274","51b412766e36bcbcfab456e9ca878ede"
"ITS380","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7586675","3642dc215f1e3f06ef855503f37017d1"
"ITS381","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","Symmetrosporaceae","Symmetrospora","Symmetrospora_oryzicola","0.9999347","8120a7367b0143774e11413ce6c80aae"
"ITS382","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Bullera","Bullera_unica","0.9999993","69cfe1e698a88470d68e8acf0c4a0d95"
"ITS383","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","ba541db4620cf97c0cfed9743e87bfbd"
"ITS384","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","ef6904de2a4374c03f27b44817b04ad4"
"ITS385","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon_ovoides","0.9995171","39a5e635487eef39346b3a1239cd8882"
"ITS386","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9901922","2880cdcf2068f240f7d7a929a601174e"
"ITS387","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidiaceae","Filobasidiaceae","0.8063434","09e39cfa0dd6c0ec1ce89a4c74884549"
"ITS388","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","419cd2518ebd75abe376ad6659fac349"
"ITS389","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","Cutaneotrichosporon","0.9934407","4ba62dc6c52aba58245d16aaa312c434"
"ITS390","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","a154aecd6c9dc073f2d50291e5e170e0"
"ITS391","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7602499","1f6d0ebae34aef5116cfece12401c9bc"
"ITS392","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_wieringae","0.7352641","f43c401742615f53233b5063ad65442c"
"ITS393","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","1e8203531569d4465001a1c95605a9f9"
"ITS394","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9936115","6aea9188eb18e6bc17294069419b9f25"
"ITS395","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","23de47c8a2f8c9e415bcf0324b16e62a"
"ITS396","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria_ampeli","0.8898992","b86dca3965138cdec1cb82827d663e29"
"ITS397","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","ab89b2c51975197f4e86e22204d2120e"
"ITS398","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kazachstania","Kazachstania_bovina","1.0000000","b33827bcb42b58cd75ac5ad373750523"
"ITS399","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium","0.9267790","68ebc29ff32e4a22b495b4436cc20d9a"
"ITS400","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Rasamsonia","Rasamsonia_emersonii","0.9999999","a41a97c39633aab93aad1d7e7d29ee7b"
"ITS401","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","0.7383497","c7e8fc29d432a6df4c51b22cfc0e74be"
"ITS402","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_muriae","0.9993803","80b05ad4303d05e083afe86dc8b805a8"
"ITS403","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9906660","bf7fbafa96c67cb6e1bc7fdeefb0510b"
"ITS404","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","aca6bcfd7de0a907818f4867d0c81b4a"
"ITS405","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella_sinensis","0.9995839","17397bc0f0a69227810f1e88c1282833"
"ITS406","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7323073","c704db855596b8cf952d5256d4b4549f"
"ITS407","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9760386","709a427f3fe4b254d86149cb089ba60c"
"ITS408","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidiaceae","Filobasidiaceae","0.8155580","e4fbe8da66deb99fecfaebcebf3748d3"
"ITS409","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.9025008","47b2d47adc3e50635166f3107d5b1f3a"
"ITS410","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula_mucilaginosa","0.9834483","7e0937f9b4ff54512de59a80d28ca06a"
"ITS411","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","a34b957e57a74c837f04a3cbc197619d"
"ITS412","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","e431ea25bf69739f5171cbb579f4d91c"
"ITS413","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9917018","a984a7039d7f78638263d4cec1811ad4"
"ITS414","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","e0f1545f0c7e9290a6319e6da49b9e94"
"ITS415","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","ed91ad83867c578e0842dde4c87a23b1"
"ITS416","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","0.9081311","860e17b87b87a944377d06b02ab95769"
"ITS417","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.9626420","d5f3caa913f91a7cb2e09415ddbd6002"
"ITS418","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7606848","e0293c3da38088e37548f3538a840e20"
"ITS419","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","c05457a73b5f77cccf45a01688ded030"
"ITS420","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","c214a5899ae3337508202388ac21eb90"
"ITS421","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_tropicalis","0.9999286","1763a6a9d759f6fffd4c23d5828016c6"
"ITS422","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella","0.9376343","5f8a5256a0849e9a5f4fb79d452439fa"
"ITS423","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium","0.8742015","059a9492f33ff957efe4f4661d15437e"
"ITS424","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","fa8ca36bc00fb313a7cf9bfb8bafd2cf"
"ITS425","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_caesiellus","0.7158614","1fddc3d64fed0eb37364d6d13966d7fc"
"ITS426","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_muriae","0.9988938","07a1d0a2c8eb1d140f1144c2fd8ec42c"
"ITS427","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","5b159317d0d20685a6fd18fc37138938"
"ITS428","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8785463","15eba362036d70dc4548ad218a43f11a"
"ITS429","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_gracile","0.9985762","1e6d660882347c3404dfd1cdb53eb107"
"ITS430","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9962288","0078b2d31c56a475bc27d3ba92d1b23a"
"ITS431","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7469022","635bfd2842ad66b998be35c05394b342"
"ITS432","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9999941","7abb2f828c44a4df455739bf4e084663"
"ITS433","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","b011450be77d00314d036fa21719cad5"
"ITS434","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7583621","233af200bff70852dd8e3f82f7d2ae8c"
"ITS435","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7511547","55df7e7ebe7b0f4c93050c33b0930d1b"
"ITS436","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Piromyces","unidentified","0.9999312","52c09beeb2f3b47d92bd8b8cdb0c9726"
"ITS437","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9953216","40771a6562d457c79f362c428d8b7a21"
"ITS438","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9977696","6eb79085470f7347643f29251720d3ba"
"ITS439","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","6eca60723443145d225ddc2d55c56297"
"ITS440","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon_ovoides","0.9995239","eff1881b1eaad29696bc75123a0cbad9"
"ITS441","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia_pullulans","1.0000000","6cb843e36d7d62a81654c2f2ba752d31"
"ITS442","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","0.7664940","be574e2202f9f26323ac2bf5a04e53c4"
"ITS443","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","0.8902658","0d501726471bc7502aa48ace67b7b8d5"
"ITS444","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9920505","e0751bcabf79b2796dc33502c8d8713d"
"ITS445","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","0.9043071","31c748b335c4680b1ccad6ce614b750e"
"ITS446","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9961010","8406573e623990306f63b7b11e5d0e11"
"ITS447","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_ruber","0.9590341","05dbafc90a0dde544ca548aac72fa2ff"
"ITS448","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7487626","e3778566296d0d74ef6eb3004377e333"
"ITS449","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Nectriaceae","Nectriaceae","0.9998755","18dcf57b68e63e5a5c0ab6b79529aea9"
"ITS450","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","Symmetrosporaceae","Symmetrospora","Symmetrospora_oryzicola","0.9999346","3821ef2bd473e14571ae61a115903f49"
"ITS451","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Piromyces","unidentified","0.9999972","c48f80fe705b35dd91d19a80abe2a6a0"
"ITS452","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","6909e90e165f0b9f303f9cbeba9aeaa1"
"ITS453","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7593918","68eb9c68421edfab306c216da4cd4a9d"
"ITS454","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","Cutaneotrichosporon","0.9928526","637e933a66f8b6e62bd6ee04bb8d32b0"
"ITS455","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7541904","e4fe7f6176f8e28d050336ce7796ec24"
"ITS456","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Bullera","Bullera_unica","0.9999993","dd92c8b4a902113494898e19a92d706b"
"ITS457","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","c6aa775031527bd65c0e2f082fe07368"
"ITS458","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_vespimorsuum","0.8243346","172f88e33e245f2ea5ccf0d9cc3a3492"
"ITS459","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_flavus","0.8993567","2ba61cabe75234fc2c7599c456949562"
"ITS460","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_bialowiezense","0.9960198","2f2f1465af31ee1e3daa786d44af0139"
"ITS461","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9590388","0b7ce52d8e780ca98dea457095141920"
"ITS462","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","a9e0204c3859f02b3e2785a71c6ac329"
"ITS463","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7389677","a3caa1810db03a59f342e69d771fdaeb"
"ITS464","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","945f1218bc54ce3717c310847abba2e7"
"ITS465","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremataceae","Papiliotrema","Papiliotrema_terrestris","0.8775959","659ba2117d29cb87bc46e0365ee6645f"
"ITS466","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","7394a31694321f8fdffe172c764e311a"
"ITS467","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9654455","c5a22a025bb78e1d923064e0a0093491"
"ITS468","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales","Hypocreales","Hypocreales","0.9407892","44cba313e7f493d36753a4ad8f586d73"
"ITS469","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9948223","6b6de87a431b6144c057dc94486c99e2"
"ITS470","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_muriae","0.9998955","1d226c3c8af65f278ee774cd6170d78b"
"ITS471","Basidiomycota","Tremellomycetes","Holtermanniales","Holtermanniales_fam_Incertae_sedis","Holtermanniella","Holtermanniella_takashimae","0.7194585","5bfb40f85be0ba6aef899192e3c4988a"
"ITS472","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Lophotrichus","Lophotrichus_fimeti","0.9939058","6cf6b5530e0aeefeaad01facd0253749"
"ITS473","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9919400","c9268ef156267bdc68e4b57a1e8d5938"
"ITS474","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9940990","316c7bf3b21acdb71c9bd36badabe30a"
"ITS475","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7598837","e1c499b168eda0e5689a0f59238f4bed"
"ITS476","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_muriae","0.9996521","23b328026bc620b12c6a0fe6fe63987f"
"ITS477","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9961132","4d2af7ec5727dc9c3d66f6a9f3b943bc"
"ITS478","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","0.7178160","a95fdc016fb90370067a30609732e240"
"ITS479","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.7829038","3f0794b3524e1ae7f381feeec2f80b8c"
"ITS480","Basidiomycota","Microbotryomycetes","Leucosporidiales","Leucosporidiaceae","Leucosporidium","Leucosporidium_creatinivorum","0.8625426","3314621a9debc646c556d9258e3a0b7d"
"ITS481","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9954527","34bef88dfc8de186429acf797d3b1d1b"
"ITS482","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon_ovoides","0.9994363","67d677d68cb90d97991951f7b8bb514f"
"ITS483","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9953041","7c5f75152b29ae2c8d75e90e7fa8a723"
"ITS484","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","unidentified","0.9796352","c905a1f55119006cfda75a8abf218dac"
"ITS485","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporonaceae","Trichosporonaceae","0.9989799","d993d575a8929d3e8a71411df52b3076"
"ITS486","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9732798","758235f4b348e631d6025bea42a9483e"
"ITS487","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7655718","dff17514604cecb1743b3de68f290313"
"ITS488","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9828764","2253072f831d1403f9c40e04eb18b66d"
"ITS489","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7586458","42a139b6cd6b4c7d05dbb635e69afe8a"
"ITS490","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","506ff4bb187c84dce4d10d8bc1e79311"
"ITS491","Ascomycota","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","0.9999884","8b3d04513cdd7e19dedd5eff325c6f79"
"ITS492","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9963023","9b9419a4718d603e0d60933832de4345"
"ITS493","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","65a228b7c0f1d3ea5bca589a23cf07ec"
"ITS494","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_wieringae","0.7198652","22bae4d3a925db9521fd0aeff5c757f5"
"ITS495","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9999989","c61686860ca8b69f34c8e9bcdfc49c1e"
"ITS496","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","63d5dfb1ceaf9edd6d1f0ac11b4c2544"
"ITS497","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9930531","393d7d6b9f6d3aa06b661cc33c5d4e7e"
"ITS498","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_melanoconidium","0.9990548","b2b2b9c4055b41334bb4acaa4889e037"
"ITS499","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zymoseptoria","Zymoseptoria_brevis","0.9993059","a4ecf28e46e7406c6a8a168ab2c4f754"
"ITS500","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Bullera","Bullera_unica","0.9999996","e2a82f942d2a2fcf0a026a01086087cd"
"ITS501","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9689546","215ff466dd72f6811b7fdaf9f1a517ef"
"ITS502","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.8075948","72cb63d8c11f92c7ff5c49e10edd1902"
"ITS503","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Bullera","Bullera_unica","0.9999994","b224e2bba4f1d3325317b91d3dfe57ff"
"ITS504","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9539501","fa5b382b3af426e76eb006732c37e90f"
"ITS505","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_muriae","0.9995009","daac132af48d289528b28f60e264a642"
"ITS506","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9959144","e2738044ea042d57274a60a1511f5e88"
"ITS507","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9887676","8646837e1ec5103a107cfe518c9a32ee"
"ITS508","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma","Neosetophoma_rosigena","0.9999287","0ff40709a04d8eca2e22f307f1a2f943"
"ITS509","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9710254","cfc207bb77aabb81846423d6778eba96"
"ITS510","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","unidentified","unidentified","unidentified","0.9698924","18f2fc939f68234a7733493390febad2"
"ITS511","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7562936","b9ab1e5a2649f45d762b5774fa530060"
"ITS512","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7480878","5b12353ebc7785b243c5a190e3d3ebcd"
"ITS513","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Aureobasidium","Aureobasidium_pullulans","0.9996640","a9d7e723e51ef46dde9b1c151cfe6a75"
"ITS514","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9918296","058fb1dbd99f994d96e0c053b5543691"
"ITS515","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_wieringae","0.7093697","9956124b60b2253b6fff3668b24369bd"
"ITS516","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","e8d2a83e6de87552c76fe4e44960ac83"
"ITS517","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_tropicalis","0.9999305","b2ade8c2c24648843d21118fae59eba1"
"ITS518","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9918404","add520360df720f1a9c386047c1acf5a"
