"","Phylum","Class","Order","Family","Genus","Species","Confidence","OTUs"
"ITS229","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_melanoconidium","0.9997427","a635e672e6574462d3b922e964a370b8"
"ITS230","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","0.9281667","cc98ec85fe6ce3e32395df3e7545c950"
"ITS231","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9457853","aed0bf4852d059e59d40fd48e62aafe2"
"ITS232","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9872764","5ee8dd8d72e3ae02ee13ba97855f9825"
"ITS233","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Coniosporium","unidentified","0.7528539","cdd586b981143bf925c98b95ec03c0c1"
"ITS234","Ascomycota","Dothideomycetes","Capnodiales","unidentified","unidentified","unidentified","0.9082806","97c946b29f70367d04ceed22e320b2b5"
"ITS235","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9718762","15bd082e4610dbc7128aff4d5bc6ac93"
"ITS236","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8780300","e1adbb64f48eb5bd218c1cbd59b5e328"
"ITS237","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9782249","001329a4a06f699a6b827db1ddcac72b"
"ITS238","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","unidentified","0.9968822","6c24f6f1ec2fc2f0e91dc641990a99b8"
"ITS239","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium","0.9358050","47bc457a996bc3f1aa21e244927b4211"
"ITS240","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces_anomalus","0.9999982","a3d84ea70e1efef49d3af15332ea20c9"
"ITS241","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","0.9093006","84865ca376593783dd51bfd7f43a4763"
"ITS242","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9843508","ee3b1c1eb8cbbfc5be5bd597c1f309de"
"ITS243","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon_ovoides","0.9992915","389d77e66d05846eeda941f8d3818798"
"ITS244","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales","Pleosporales","Pleosporales","0.7056882","c8b535de569d639c1a38c3fbcadacecc"
"ITS245","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8636937","0d15a0db2973d5ae403a92cf452eb0d4"
"ITS246","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidiaceae","Filobasidiaceae","0.8310425","73c4cbb51ed4762e5ec150f0338f8093"
"ITS247","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7413781","813c71ceba41b676b090d403cb3f8fec"
"ITS248","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zymoseptoria","Zymoseptoria_brevis","0.9993022","24e5f96efea19c6399cb5d7e629a6760"
"ITS249","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Bullera","Bullera_unica","0.9999991","e579869d28614ab749c4a28bfb16e1a6"
"ITS250","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","97eba08db302aeaae464699d4f7e1366"
"ITS251","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9768113","e828197d274abea393891ed4736f8826"
"ITS252","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula_kratochvilovae","0.9839944","7c55983087bdce6f7908b87c09a2610f"
"ITS253","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7072058","9e9a618ddb5bccd38d77d2f3bd413665"
"ITS254","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9920902","54bcec05649788e71397a145e397a918"
"ITS255","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.9597536","65c551e22351eee7f9877bcd1532c266"
"ITS256","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9965769","f86c5a2b7f319c13ed939cdad4b23ef5"
"ITS257","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8878243","b3f3a9a8a9fd76a85e2637981cf7d32c"
"ITS258","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","0.9151310","93cc79ce52fa300a7a9bb0474e117df0"
"ITS259","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8820667","386ec851d6b86eef1f3fda5c4e41f6f3"
"ITS260","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9764104","d52cc2c271ab4757b7b2ed9a48ed12b0"
"ITS261","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9865579","37d7a2b1c4a9042d8c717c856e52755e"
"ITS262","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_muriae","0.9987015","6a5c4e16d30c42b801bbe91ab40340e1"
"ITS263","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","6c2e964875a08ca90f2d6f245c1d1d77"
"ITS264","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","59597b2fb6424a9e662086d329cd1052"
"ITS265","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma","Neosetophoma_rosigena","0.9999458","962e928c88ac74065c5e91d3ef4caab1"
"ITS266","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","65ce854600450ddc247579385be52fc6"
"ITS267","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidiaceae","Filobasidiaceae","0.8391150","7cd0939db9aba93ea272e3c30c56c8ca"
